ax_mean,ax_var,ay_mean,ay_var,az_mean,az_var,gx_mean,gx_var,gy_mean,gy_var,gz_mean,gz_var,mag_mean,mag_var,label
-0.003825261,-0.000762362,0.006343615,0.000985985,-0.007437951,-0.002503505,1.5872585480670025e-05,7.621937766719851e-06,5.729390664036729e-05,0.000467676,0.000288482,8.561937314891232e-05,0.010652379260543512,2.2770518015140488e-05,HANDSTILL
-0.003789712,-0.000624756,0.00657286,0.001987126,-0.003113057,-0.000530965,4.848961478115265e-06,4.920423290657332e-06,2.422176453352827e-05,0.000231286,0.000114711,3.50353358134258e-05,0.008788156,1.4714194941700867e-05,HANDSTILL
-0.003957315,-0.000546799,0.00693969,0.004032152,0.001416569,0.001802356,3.6323928939068137e-06,2.9943376701775385e-06,1.9300012277060846e-05,0.000112271,6.910918659369673e-05,1.7228765707301264e-05,0.008795186,1.2690062680010817e-05,HANDSTILL
-0.003928639,-0.000504526,0.006603502,0.006560302,-0.011360952,-0.000114846,2.7755964718270666e-05,1.3908757840640127e-05,6.006012112812002e-05,0.000527803,0.000595703,0.000288967,0.011458881623183344,2.9713858648247168e-05,HANDSTILL
-0.003907919,-0.000684067,0.006602586,0.006554432,-0.008386992,0.005589244,9.207700375547764e-05,2.4204561168347655e-05,0.000145768,0.001219186,0.003357452,0.001063527,0.016198915,5.8978940958780196e-05,HANDSTILL
-0.003288928,-0.001067272,0.005583425,0.002721065,0.002104065,0.024340469,0.000201902,8.285719445282858e-05,0.000435627,0.004344452,0.005530072,0.004047843,0.024698130276237254,0.000153519,HANDSTILL
-0.003404014,-0.000150985,0.006908297,0.007278191,-0.012854953,0.015213998551480468,0.000268442,0.0001051,0.000468515,0.005288407,0.004489274,0.00497589,0.027287026,0.000156809,HANDSTILL
-0.003741564,9.880244731902478e-05,0.008654841,-0.001412861,-0.018324351,-0.012391627,0.000203732,4.846262468807417e-05,0.0001852,0.002556093,0.003931841,0.00222592,0.020769469383355714,9.493937002596383e-05,HANDSTILL
-0.003543171,-0.000694458,0.007368366,-0.006206408,-0.006436579,-0.013970936,0.000117096,2.102029484129631e-05,0.000118974,0.001678336,0.004063134,0.001287756,0.016527013,5.127812050943179e-05,HANDSTILL
-0.003919909,-0.000373098,0.008450291,0.000956775,-0.004056702,-0.003352378,0.000129525,4.296782744364783e-05,0.000197063,0.001983287,0.003819993,0.001318366,0.018929338,9.814852688913768e-05,HANDSTILL
-0.003618125,-0.000556406,0.007659546,-0.000990615,0.009486283,0.002653321,0.000286802,0.000111477,0.000287094,0.002507827,0.00606271,0.002108919,0.025012561417596942,0.000131814,HANDSTILL
-0.003282722,-0.000700907,0.007483656,-0.005890496,-0.006724077,-0.009869921,0.000430963,0.000121293,0.000318854,0.00842012,0.010657122922858168,0.00382816,0.027469263310739147,0.000183822,HANDSTILL
-0.003978368,-0.00127313,0.008890943,0.015694854,-0.022945745,-0.012200862,0.000486948,9.392799154257458e-05,0.00044896,0.015812322847729033,0.019609597,0.004050677,0.029782241481384638,0.000239351,HANDSTILL
-0.004021705,-0.00178968,0.007420403,0.025714341,0.00360771,0.003633604,0.000284445,7.616583922226355e-05,0.000433866,0.00986746,0.014244139,0.002035763,0.02546167,0.00022062,HANDSTILL
-0.003668641,-0.000888568,0.008102003,0.006859912,0.009819742,0.005542479,3.059127005645114e-05,6.0529027374620036e-05,0.000380843,0.002655311,0.000892244,0.000533671,0.02046072,0.000133213,HANDSTILL
-0.004646472,-0.000472515,0.008760957,0.00545574,0.006439076,-0.005208422,1.9866692008371923e-05,3.3143749503103215e-05,0.000261576,0.001396389,0.000488349,0.0007508,0.017212737135875192,0.000116876,HANDSTILL
-0.005072287,-0.001142236,0.008193479,0.003114728,0.012291055985842826,-0.015620175,6.324257084440156e-05,2.6274050867301652e-05,0.000148195,0.006298765,0.003503703,0.001222176,0.015231860211868654,9.986843940213352e-05,HANDSTILL
